Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
0;16886;POINT (21.2240771 48.7077919);21.2240771;48.7077919;Stropkovsk‡;10;Stropkovsk‡ 10;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
1;17467;POINT (21.2259599 48.7082246);21.2259599;48.7082246;Brnensk‡;9;Brnensk‡ 9;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
2;17448;POINT (21.2283829 48.7077276);21.2283829;48.7077276;Jihlavsk‡;10;Jihlavsk‡ 10;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
3;17449;POINT (21.2283532 48.7078069);21.2283532;48.7078069;Jihlavsk‡;12;Jihlavsk‡ 12;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
4;17452;POINT (21.2283236 48.7078862);21.2283236;48.7078862;Jihlavsk‡;14;Jihlavsk‡ 14;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
5;17454;POINT (21.2282939 48.7079655);21.2282939;48.7079655;Jihlavsk‡;16;Jihlavsk‡ 16;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6;17456;POINT (21.2282642 48.7080448);21.2282642;48.7080448;Jihlavsk‡;18;Jihlavsk‡ 18;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
7;17457;POINT (21.2282345 48.7081242);21.2282345;48.7081242;Jihlavsk‡;20;Jihlavsk‡ 20;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
8;17460;POINT (21.2256003 48.7081649);21.2256003;48.7081649;Brnensk‡;15;Brnensk‡ 15;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
9;17463;POINT (21.2257202 48.7081848);21.2257202;48.7081848;Brnensk‡;13;Brnensk‡ 13;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
10;17465;POINT (21.22584 48.7082047);21.22584;48.7082047;Brnensk‡;11;Brnensk‡ 11;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
11;17468;POINT (21.2261039 48.7081803);21.2261039;48.7081803;Brnensk‡;7;Brnensk‡ 7;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
12;17444;POINT (21.2284423 48.7075689);21.2284423;48.7075689;Jihlavsk‡;6;Jihlavsk‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
13;17471;POINT (21.2262479 48.7081361);21.2262479;48.7081361;Brnensk‡;5;Brnensk‡ 5;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
14;17472;POINT (21.2263918 48.7080918);21.2263918;48.7080918;Brnensk‡;3;Brnensk‡ 3;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
15;17475;POINT (21.2265358 48.7080475);21.2265358;48.7080475;Brnensk‡;1;Brnensk‡ 1;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
16;17478;POINT (21.2261671 48.7087838);21.2261671;48.7087838;Brnensk‡;26;Brnensk‡ 26;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
17;17481;POINT (21.2254458 48.7109229);21.2254458;48.7109229;Brnensk‡;63;Brnensk‡ 63;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
18;17484;POINT (21.2232688 48.7051081);21.2232688;48.7051081;Kremnick‡;67;Kremnick‡ 67;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
19;17486;POINT (21.2234848 48.7051584);21.2234848;48.7051584;Kremnick‡;65;Kremnick‡ 65;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
20;17488;POINT (21.2237185 48.7051987);21.2237185;48.7051987;Kremnick‡;63;Kremnick‡ 63;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
